kingdom,id,scientificName,scientificName
Aves,11453,Oenanthe hispanica,"Oenanthe hispanica (Linnaeus, 1758)"
Aves,11592,Oenanthe leucura,"Oenanthe leucura (Gmelin, JF, 1789)"
Aves,11890,Oenanthe oenanthe,"Oenanthe oenanthe (Linnaeus, 1758)"
Aves,11911,Oriolus oriolus,"Oriolus oriolus (Linnaeus, 1758)"
Aves,12292,Otis tarda,"Otis tarda Linnaeus, 1758"
Aves,12175,Otus scops,"Otus scops (Linnaeus, 1758)"
Aves,11589,Oxyura leucocephala,"Oxyura leucocephala (Scopoli, 1769)"
Aves,11421,Pandion haliaetus,"Pandion haliaetus (Linnaeus, 1758)"
Aves,10839,Panurus biarmicus,"Panurus biarmicus (Linnaeus, 1758)"
Aves,11650,Parus major,"Parus major Linnaeus, 1758"
Aves,14021,Pelagodroma marina,"Pelagodroma marina (Latham, 1790)"
Aves,24333,Perdix perdix hispaniensis,"Perdix perdix hispaniensis Reichenow, 1892"
Aves,16422,Periparus ater ,"Periparus ater (Linnaeus, 1758)"
Aves,10739,Pernis apivorus,"Pernis apivorus (Linnaeus, 1758)"
Aves,11973,Petronia petronia,"Petronia petronia (Linnaeus, 1766)"
Aves,79207,Phaethon aethereus mesonauta,"Phaethon aethereus mesonauta Peters, J.L.,1930"
Aves,80933,Phalacrocorax aristotelis  ,"Gulosus aristotelis (Linnaeus, 1761)"
Aves,14040,Phalaropus fulicarius,"Phalaropus fulicarius (Linnaeus, 1758)"
Aves,14039,Phalaropus lobatus,"Phalaropus lobatus (Linnaeus, 1758)"
Aves,33046,Philomachus pugnax,"Calidris pugnax (Linnaeus, 1758)"
Aves,12107,Phoenicopterus (ruber) roseus,"Phoenicopterus roseus Pallas, 1811"
Aves,11886,Phoenicurus ochruros,"Phoenicurus ochruros (Gmelin, SG, 1774)"
Aves,11977,Phoenicurus phoenicurus  ,"Phoenicurus phoenicurus (Linnaeus, 1758)"
Aves,10724,Phylloscopus bonelli,"Phylloscopus bonelli (Vieillot, 1819)"
Aves,10949,Phylloscopus canariensis,"Phylloscopus canariensis (Hartwig, 1886)"
Aves,11056,Phylloscopus collybita,"Phylloscopus collybita (Vieillot, 1817)"
Aves,11489,Phylloscopus ibericus,"Phylloscopus ibericus Ticehurst, 1937"
Aves,12206,Phylloscopus sibilatrix,"Phylloscopus sibilatrix (Bechstein, 1793)"
Aves,12337,Phylloscopus trochilus,"Phylloscopus trochilus (Linnaeus, 1758)"
Aves,33014,Picus viridis,"Picus sharpei (Saunders, H, 1872)"
Aves,11590,Platalea leucorodia,"Platalea leucorodia Linnaeus, 1758"
Aves,16443,Plectrophenax nivalis,"Plectrophenax nivalis (Linnaeus, 1758)"
Aves,11247,Plegadis falcinellus,"Plegadis falcinellus (Linnaeus, 1766)"
Aves,10741,Pluvialis apricaria,"Pluvialis apricaria (Linnaeus, 1758)"
Aves,12240,Pluvialis squatarola   ,"Pluvialis squatarola (Linnaeus, 1758)"
Aves,14003,Podiceps auritus,"Podiceps auritus (Linnaeus, 1758)"
Aves,14001,Podiceps cristatus,"Podiceps cristatus (Linnaeus, 1758)"
Aves,14004,Podiceps nigricollis,"Podiceps nigricollis Brehm, 1831"
Aves,16420,Poecile palustris,"Poecile palustris (Linnaeus, 1758)"
Aves,12013,Porphyrio porphyrio,"Porphyrio porphyrio (Linnaeus, 1758)"
Aves,33069,Porzana parva,"Zapornia parva (Scopoli, 1769)"
Aves,12014,Porzana porzana,"Porzana porzana (Linnaeus, 1766)"
Aves,33067,Porzana pusilla,"Zapornia pusilla (Pallas, 1776)"
Aves,11054,Prunella collaris,"Prunella collaris (Scopoli, 1769)"
Aves,11761,Prunella modularis,"Prunella modularis (Linnaeus, 1758)"
Aves,10662,Pterocles alchata,"Pterocles alchata (Linnaeus, 1766)"
Aves,11909,Pterocles orientalis,"Pterocles orientalis (Linnaeus, 1758)"
Aves,12131,Ptyonoprogne rupestris,"Ptyonoprogne rupestris (Scopoli, 1769)"
Aves,14019,Puffinus assimilis ,"Puffinus baroli (Bonaparte, 1857)"
Aves,11691,Puffinus mauretanicus,"Puffinus mauretanicus Lowe, 1921"
Aves,33031,Puffinus gravis,"Ardenna gravis (O'Reilly, 1818)"
Aves,33032,Puffinus griseus,"Ardenna grisea (Gmelin, JF, 1789)"
Aves,12029,Puffinus puffinus,"Puffinus puffinus (Brünnich, 1764)"
Aves,12433,Puffinus yelkouan,"Puffinus yelkouan (Acerbi, 1827)"
Aves,11384,Pyrrhocorax graculus,"Pyrrhocorax graculus (Linnaeus, 1766)"
Aves,12065,Pyrrhocorax pyrrhocorax,"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)"
Aves,12067,Pyrrhula pyrrhula  ,"Pyrrhula pyrrhula (Linnaeus, 1758)"
Aves,10801,Recurvirostra avosetta,"Recurvirostra avosetta Linnaeus, 1758"
Aves,11499,Regulus ignicapillus,"Regulus ignicapilla (Temminck, 1820)"
Aves,12088,Regulus regulus,"Regulus regulus (Linnaeus, 1758)"
Aves,11957,Remiz pendulinus  ,"Remiz pendulinus (Linnaeus, 1758)"
Aves,12097,Riparia riparia,"Riparia riparia (Linnaeus, 1758)"
Aves,14069,Rissa tridactyla,"Rissa tridactyla (Linnaeus, 1758)"
Aves,11125,Saxicola dacotiae,"Saxicola dacotiae (Meade-Waldo, 1889)"
Aves,12112,Saxicola rubetra,"Saxicola rubetra (Linnaeus, 1758)"
Aves,16387,Saxicola torquata,"Saxicola rubicola (Linnaeus, 1766)"
Aves,16435,Serinus citrinella,"Carduelis citrinella (Pallas, 1764)"
Aves,11226,Sitta europaea,"Sitta europaea Linnaeus, 1758"
Aves,14042,Stercorarius parasiticus  ,"Stercorarius parasiticus (Linnaeus, 1758)"
Aves,14041,Stercorarius pomarinus  ,"Stercorarius pomarinus (Temminck, 1815)"
Aves,14044,Stercorarius skua  ,"Stercorarius skua (Brünnich, 1764)"
Aves,10831,Sterna bengalensis,"Thalasseus bengalensis (Lesson, 1831)"
Aves,14073,Sterna caspia,"Hydroprogne caspia (Pallas, 1770)"
Aves,14078,Sterna dougallii,"Sterna dougallii Montagu, 1813"
Aves,14079,Sterna hirundo,"Sterna hirundo Linnaeus, 1758"
Aves,11938,Sterna paradisaea,"Sterna paradisaea Pontoppidan, 1763"
Aves,14084,Sterna albifrons,"Sternula albifrons (Pallas, 1764)"
Aves,10698,Strix aluco,"Strix aluco Linnaeus, 1758"
Aves,10791,Sylvia atricapilla,"Sylvia atricapilla (Linnaeus, 1758)"
Aves,80946,Sylvia balearica (= S. sarda),"Curruca balearica (Jordans, 1913)"
Aves,10728,Sylvia borin,"Sylvia borin (Boddaert, 1783)"
Aves,80920,Sylvia cantillans,"Curruca cantillans (Pallas, 1764)"
Aves,80921,Sylvia communis,"Curruca communis (Latham, 1787)"
Aves,80923,Sylvia conspicillata,"Curruca conspicillata (Temminck, 1820)"
Aves,80925,Sylvia curruca,"Curruca curruca (Linnaeus, 1758)"
Aves,80927,Sylvia hortensis,"Curruca hortensis (Gmelin, 1789)"
Aves,80929,Sylvia melanocephala,"Curruca melanocephala (Gmelin, JF, 1789)"
Aves,80931,Sylvia undata,"Curruca undata (Boddaert, 1783)"
Aves,12121,Tachybaptus ruficollis,"Tachybaptus ruficollis (Pallas, 1764)"
Aves,24459,Apus melba ,"Tachymarptis melba (Linnaeus, 1758)"
Aves,11261,Tadorna ferruginea,"Tadorna ferruginea (Pallas, 1764)"
Aves,12286,Tadorna tadorna,"Tadorna tadorna (Linnaeus, 1758)"
Aves,12372,Tetrao urogallus aquitanicus,"Tetrao urogallus Linnaeus, 1758"
Aves,12372,Tetrao urogallus cantabricus,"Tetrao urogallus Linnaeus, 1758"
Aves,12312,Tetrax tetrax,"Tetrax tetrax (Linnaeus, 1758)"
Aves,12147,Sterna (Thalasseus) sandvicensis,"Thalasseus sandvicensis (Latham, 1787)"
Aves,11796,Tichodroma muraria  ,"Tichodroma muraria (Linnaeus, 1766)"
Aves,11219,Tringa erythropus   ,"Tringa erythropus (Pallas, 1764)"
Aves,11370,Tringa glareola,"Tringa glareola Linnaeus, 1758"
Aves,11825,Tringa nebularia  ,"Tringa nebularia (Gunnerus, 1767)"
Aves,11885,Tringa ochropus,"Tringa ochropus Linnaeus, 1758"
Aves,12241,Tringa stagnatilis,"Tringa stagnatilis (Bechstein, 1803)"
Aves,12329,Tringa totanus,"Tringa totanus (Linnaeus, 1758)"
Aves,12340,Troglodytes troglodytes,"Troglodytes troglodytes (Linnaeus, 1758)"
Aves,12324,Turdus torquatus,"Turdus torquatus Linnaeus, 1758"
Aves,12284,Turnix sylvatica,"Turnix sylvaticus (Desfontaines, 1789)"
Aves,36632,Tyto alba alba,"Tyto alba alba (Scopoli, 1769)"
Aves,23788,Tyto alba gracilirostris,"Tyto alba gracilirostris (Hartert, E, 1905)"
Aves,11211,Upupa epops,"Upupa epops Linnaeus, 1758"
Aves,14088,Uria aalge,"Uria aalge (Pontoppidan, 1763)"
Aves,14088,Uria aalge,"Uria aalge (Pontoppidan, 1763)"
Flora,79298,Isoplexis chalcantha,"Digitalis chalcantha (Svent. & O'Shan.) Albach, Bräuchler & Heubl "
Flora,79299,Isoplexis isabelliana,Digitalis isabelliana (Webb) Linding
Flora,24248,Jasione lusitanica,Jasione lusitanica A.DC.
Flora,12,Adenocarpus ombriosus,Adenocarpus ombriosus Ceballos & Ortuño
Flora,831,Aeonium balsamiferum,Aeonium balsamiferum Webb & Berthel.
Flora,832,Aeonium gomerense,Aeonium gomerense (Praeger) Praeger
Flora,1163,Aeonium saundersii,Aeonium saundersii Bolle
Flora,1719,Allium grosii,Allium grosii Font Quer
